question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation
94,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,給水内管に関する記述として、適切なものは次のうちどれか。,,,,,,給水をボイラー内に分配するため、多数の穴を設けるものがある。,燃料を霧化するためのノズルである。,煙道ガスを排出する煙突である。,安全弁のばねである。,通風計の液柱である。,1,給水内管は給水を胴又はドラム内に分配するために設けられる。
95,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,給水逆止め弁に関する記述として、適切でないものは次のうちどれか。,,,,,,ボイラー水の逆流を防止する。,給水管に設けられる。,給水弁と組み合わせて設けられることがある。,逆流防止に関係する。,燃焼ガス中のNOxを除去する薬剤である。,5,給水逆止め弁は逆流防止の弁であり、NOx除去薬剤ではない。
96,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,エコノマイザの取扱いで注意する事項として、適切なものは次のうちどれか。,,,,,,給水の加熱により効率向上を図るが、低温腐食などにも注意する。,水面計を不要にするために設ける。,安全弁の吹出し圧力を直接決める。,燃料タンクの水分を測定する。,蒸気トラップの代わりにドレンだけを排出する。,1,エコノマイザは給水加熱に有効だが、排ガス温度低下による腐食にも注意が必要である。
97,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,オンオフ動作に関する記述として、適切なものは次のうちどれか。,,,,,,制御対象の状態により燃焼と停止などを切り替える。,偏差に比例して連続的に操作量だけを変える方式である。,必ず手動操作だけで行う。,水面計の色を変える方式である。,燃料の硫黄分を除去する方式である。,1,オンオフ動作は、設定値を境に燃焼・停止などを切り替える制御である。
98,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,燃焼安全装置の構成機器として、適切なものは次のうちどれか。,,,,,,火炎検出器,水処理用食塩槽,煙突の避雷針だけ,作業主任者名簿,燃料販売伝票,1,火炎検出器は異常消火などを検出する燃焼安全装置の重要機器である。
99,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,蒸気圧力調節器に関する記述として、適切なものは次のうちどれか。,,,,,,蒸気圧力に応じて燃焼量を制御するために用いられる。,給水中の硬度を除去する薬品である。,煙管内のすすだけを排出する装置である。,ボイラー室の照明器具である。,燃料の灰分を測る容器である。,1,蒸気圧力調節器は蒸気圧力制御に用いられる。
100,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,水位検出器に関する記述として、適切でないものは次のうちどれか。,,,,,,水位の異常を検出する。,低水位時に燃焼停止などに関係する。,水側・蒸気側連絡管の状態が重要である。,燃料の発熱量を直接高くする薬剤である。,複数方式を用いる場合がある。,4,水位検出器は水位異常検出のための装置であり、燃料発熱量を変えるものではない。
101,single,ボイラーの取扱いに関する知識,点火・たき始め,プレパージの目的として、適切なものは次のうちどれか。,,,,,,炉内や煙道内の未燃ガスを排出する。,ボイラー水の硬度を下げる。,安全弁のばねを強くする。,燃料の発熱量を測定する。,水面計のガラスを洗浄するだけである。,1,プレパージは点火前に未燃ガスを排出し、逆火や爆発を防ぐために行う。
102,single,ボイラーの取扱いに関する知識,点火・たき始め,たき始め時の水位変化に関する記述として、適切なものは次のうちどれか。,,,,,,水温上昇や蒸気発生により水位が変動するため注意して監視する。,水位は絶対に変動しない。,水位計は点火後すぐ取り外す。,水位が見えなくても運転を続ける。,水位は燃料タンクの色で判断する。,1,たき始め時は水位が変動しやすく、複数の水面計の一致などを確認する。
103,single,ボイラーの取扱いに関する知識,点火・たき始め,ボイラー昇圧時の圧力計の確認として、適切なものは次のうちどれか。,,,,,,指針の上昇が円滑か確認する。,指針が動かない方が安全である。,圧力計は昇圧時に隠しておく。,圧力計は水位確認にだけ用いる。,圧力計は燃焼用空気の湿度を示す。,1,昇圧時には圧力計の指針が円滑に動くか確認する。
104,single,ボイラーの取扱いに関する知識,水位・低水位,水面計の吹出し操作に関する記述として、適切なものは次のうちどれか。,,,,,,水側・蒸気側の連絡を確認し、閉塞を防ぐ目的で行う。,燃料油の粘度を下げるために行う。,煙突の高さを調整するために行う。,燃焼用空気を加熱するために行う。,安全弁のばねを交換するために行う。,1,水面計の吹出しは連絡管の閉塞確認・排出のために行う。
105,single,ボイラーの取扱いに関する知識,水位・低水位,験水コックがある場合の確認として、適切なものは次のうちどれか。,,,,,,水部のコックから水が出ることを確認する。,蒸気部のコックから燃料油が出ることを確認する。,すべてのコックを溶接で閉じる。,確認せずに水面計を外す。,水が出ないほど正常である。,1,験水コックは水位確認の補助として用いられ、水部から水が出ることを確認する。
106,single,ボイラーの取扱いに関する知識,水位・低水位,給水内管の穴が閉塞した場合に起こり得ることとして、適切なものは次のうちどれか。,,,,,,給水分布が悪くなり、水位管理に支障を生じる。,燃料の硫黄分がゼロになる。,安全弁が不要になる。,空気比が必ず1になる。,煙突の高さが変わる。,1,給水内管の閉塞は給水状態を悪化させる。
107,single,ボイラーの取扱いに関する知識,吹出し・水管理,ボイラー水の濃縮が進みすぎた場合の影響として、適切なものは次のうちどれか。,,,,,,キャリオーバやスケール障害につながることがある。,蒸気の純度が必ず向上する。,燃料消費が必ずゼロになる。,安全弁が作動しなくてもよくなる。,水面計が不要になる。,1,ボイラー水の過度な濃縮は障害の原因となる。
108,single,ボイラーの取扱いに関する知識,吹出し・水管理,酸消費量に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラー水の水質管理指標の一つである。,燃料タンク容量の単位である。,煙突の通風力を直接表す。,安全弁の吹出し量を表す。,水面計の長さだけを示す。,1,酸消費量は水質管理で扱う指標である。
109,single,ボイラーの取扱いに関する知識,吹出し・水管理,硬度成分に関する記述として、適切でないものは次のうちどれか。,,,,,,カルシウムやマグネシウムが関係する。,スケール発生の原因となる。,軟化処理で低減する。,多いほど常に伝熱が良くなる。,給水管理で重要である。,4,硬度成分はスケールの原因となり、伝熱を悪化させることがある。
110,single,ボイラーの取扱いに関する知識,吹出し・水管理,清缶剤の目的として、適切でないものは次のうちどれか。,,,,,,スケールの付着防止,腐食の抑制,硬度成分の処理,ボイラー水の適切な管理,燃料中の硫黄分を燃焼前に完全除去することだけ,5,清缶剤はボイラー水側の障害防止に使われ、燃料硫黄分の完全除去だけを目的とするものではない。
111,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,プライミングに関する記述として、適切なものは次のうちどれか。,,,,,,ボイラー水が激しく泡立ち、蒸気に水分が混入しやすくなる現象である。,燃料油を加熱する装置である。,安全弁の設定圧力を下げる操作である。,煙突内の自然通風力を測る単位である。,給水ポンプの羽根車形状である。,1,プライミングは水分の蒸気への混入を招き、キャリオーバの原因となる。
112,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,フォーミングに関する記述として、適切なものは次のうちどれか。,,,,,,ボイラー水面に泡が発生し、水位確認や蒸気純度に影響する。,燃料中の灰分を測定する試験である。,安全弁のばね材料である。,煙道ガスを冷却する装置である。,圧力計の目盛盤の直径である。,1,フォーミングは泡立ちにより水位確認や蒸気純度に影響を与える。
113,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,スートブロー時の注意として、適切なものは次のうちどれか。,,,,,,ドレンを抜いた蒸気を用い、一箇所に長く吹き付けない。,燃焼停止直後に必ず水を噴射する。,ドレンを多く含む蒸気を積極的に使う。,安全弁を取り外してから行う。,水面計を閉じたまま長時間行う。,1,スートブローは乾いた蒸気を用い、損傷を避けるため一箇所への長時間吹付けを避ける。
114,single,ボイラーの取扱いに関する知識,保存・停止・清掃,乾燥保存法に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラー内部を乾燥状態に保ち、腐食を防ぐ保存法である。,ボイラー内を水で満たす保存法である。,運転中の水位調整法である。,燃料油の引火点測定法である。,安全弁の吹出し試験である。,1,乾燥保存法は休止中の内部腐食を防ぐために乾燥状態を保つ。
115,single,ボイラーの取扱いに関する知識,保存・停止・清掃,長期休止中のボイラー管理として、適切でないものは次のうちどれか。,,,,,,腐食防止を考慮する。,保存法を休止期間に応じて選ぶ。,内部状態を確認する。,水や湿気の影響に注意する。,休止中は腐食が絶対に起こらないので管理不要である。,5,休止中も湿気や溶存酸素により腐食が起こるため管理が必要である。
116,single,ボイラーの取扱いに関する知識,保存・停止・清掃,酸洗浄作業で注意すべき事項として、適切なものは次のうちどれか。,,,,,,薬品、発生ガス、腐食防止、後処理に注意する。,抑制剤は常に不要である。,水洗や中和は行ってはならない。,火気管理は不要である。,作業中の安全確認は不要である。,1,酸洗浄では薬品管理、抑制剤、換気、火気管理、後処理が重要である。
117,single,ボイラーの取扱いに関する知識,燃焼安全装置,燃料遮断弁に関する記述として、適切なものは次のうちどれか。,,,,,,異常時に燃料供給を遮断する。,ボイラー水を軟化する薬品である。,水面計のガラスである。,煙突の上部に取り付ける避雷針である。,通風力を測るU字管である。,1,燃料遮断弁は異常時に燃料供給を止める安全装置である。
118,single,ボイラーの取扱いに関する知識,燃焼安全装置,燃焼安全装置が関係する異常として、適切でないものは次のうちどれか。,,,,,,異常消火,低水位,送風量低下,燃料圧力異常,ボイラー室の掲示文字が読みやすいこと,5,掲示文字の読みやすさは燃料遮断弁作動の異常原因ではない。
119,single,ボイラーの取扱いに関する知識,燃焼安全装置,安全弁の調整試験として、適切でないものは次のうちどれか。,,,,,,作動圧力を確認する。,吹止まり圧力を確認する。,作動しない場合は圧力を無制限に上げ続ける。,調整後に再確認する。,設定に応じて慎重に昇圧する。,3,安全弁が作動しない場合に無制限に圧力を上げるのは危険である。
120,single,ボイラーの取扱いに関する知識,保存・停止・清掃,ボイラーの内面清掃の目的として、適切なものは次のうちどれか。,,,,,,スケールやスラッジによる障害を防ぐ。,燃料タンクの容量を増やす。,煙突の高さを変える。,作業主任者の資格を更新する。,水面計の色を変えるだけである。,1,内面清掃はスケールやスラッジによる過熱、腐食、効率低下を防ぐ目的で行う。
121,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料の真発熱量に関する記述として、適切なものは次のうちどれか。,,,,,,水蒸気の凝縮潜熱を含めない発熱量として扱われる。,高発熱量より常に大きい。,燃料の水素分とは関係しない。,水面計の長さで決まる。,煙突の高さだけで決まる。,1,真発熱量は低発熱量とも呼ばれ、水蒸気の凝縮潜熱を含めない。
122,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料の着火温度に関する記述として、適切なものは次のうちどれか。,,,,,,外部から点火しなくても自然に燃え始める最低温度である。,小火炎で瞬間的に燃え始める最低温度である。,水が沸騰する温度である。,燃料の灰分量である。,空気比と同じ意味である。,1,自然に燃え始める温度は着火温度で、引火点とは異なる。
123,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料中の水分に関する記述として、適切でないものは次のうちどれか。,,,,,,燃焼に必要な熱を奪うことがある。,発熱量に影響する。,燃焼状態に影響することがある。,多いほど常に発熱量が大きくなる。,燃料管理上注意が必要である。,4,水分が多いと発熱量の低下や燃焼不良につながる。
124,single,燃料及び燃焼に関する知識,重油・低温腐食,重油の加熱に関する記述として、適切なものは次のうちどれか。,,,,,,粘度を下げ、噴霧を良くするために行うことがある。,軽油でも必ず高温加熱が必要である。,加熱温度は高いほど無制限に良い。,ベーパロックとは無関係である。,加熱は燃料中の硫黄を完全に消す。,1,重油は粘度を下げて噴霧を良くするため加熱することがあるが、過熱には注意が必要である。
125,single,燃料及び燃焼に関する知識,重油・低温腐食,重油タンクの油取出し管に関する記述として、適切なものは次のうちどれか。,,,,,,タンク底部の水分やスラッジを吸い込みにくい位置に設ける。,必ずタンク底面ぴったりに取り付ける。,煙突の上端に取り付ける。,水面計の代わりに用いる。,ボイラー室の出入口に設ける。,1,油取出し管は水分やスラッジを吸い込みにくいよう底部から少し上に設ける。
126,single,燃料及び燃焼に関する知識,重油・低温腐食,燃料油のサービスタンクに関する記述として、適切なものは次のうちどれか。,,,,,,バーナ近くへ安定して燃料を供給するために用いられる。,ボイラー水の硬度を下げる装置である。,燃焼ガス中のNOxを測る計器である。,安全弁の吹出し管である。,水面計のガラス管である。,1,サービスタンクはバーナへ燃料を安定供給するために用いられる。
127,single,燃料及び燃焼に関する知識,油バーナ,蒸気噴霧式バーナに関する記述として、適切なものは次のうちどれか。,,,,,,蒸気を霧化媒体として油を微粒化する。,燃料を霧化しない。,水面計の一種である。,安全弁のばねである。,ボイラー室の壁材料である。,1,蒸気噴霧式バーナでは、蒸気を用いて油を微粒化する。
128,single,燃料及び燃焼に関する知識,油バーナ,油バーナのターンダウン比に関する記述として、適切なものは次のうちどれか。,,,,,,最大燃焼量と最小燃焼量の調節範囲を示す指標である。,燃料中の水分量を示す値である。,煙突内の自然通風力を示す値である。,水面計の長さを示す値である。,ボイラー検査証の有効期間である。,1,ターンダウン比は燃焼量調節範囲を示す。
129,single,燃料及び燃焼に関する知識,油バーナ,油バーナの噴霧不良の影響として、適切なものは次のうちどれか。,,,,,,燃焼不良やすすの発生につながる。,必ず燃焼効率が100%になる。,NOxが完全にゼロになる。,水位が自動的に上がる。,圧力計が不要になる。,1,噴霧不良は燃焼不良、すす、未燃分の原因となる。
130,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,都市ガスなどの気体燃料に関する記述として、適切でないものは次のうちどれか。,,,,,,配管からの漏えいに注意する。,燃焼用空気との混合が重要である。,加熱や霧化媒体が不要な場合が多い。,点火前の換気が重要である。,漏えいしても爆発のおそれは全くない。,5,気体燃料は漏えい時に爆発・火災の危険がある。
131,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,予混合燃焼に関する記述として、適切なものは次のうちどれか。,,,,,,燃焼前に燃料ガスと空気を混合する。,燃焼しながら初めて空気と混ざる方式だけをいう。,燃料と空気を絶対に接触させない。,水面計の吹出し方式である。,重油タンクの水抜き方式である。,1,予混合燃焼は燃焼前に燃料と空気を混合する。
132,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,拡散燃焼に関する記述として、適切なものは次のうちどれか。,,,,,,燃焼しながら燃料と空気が混合する。,燃料と空気を燃焼前に完全混合する方式だけをいう。,水を電気分解する方式である。,ボイラー検査証の更新手続である。,水面計の色を変える方式である。,1,拡散燃焼は、燃焼しながら燃料と空気が混合する方式である。
133,single,燃料及び燃焼に関する知識,通風・ファン,自然通風力に影響する要素として、適切なものは次のうちどれか。,,,,,,煙突高さと内外ガス密度差,水面計の長さだけ,安全弁の個数だけ,燃料タンクの塗色だけ,作業主任者の人数だけ,1,自然通風力は煙突高さと煙突内外のガス密度差に関係する。
134,single,燃料及び燃焼に関する知識,通風・ファン,後向き形ファンに関する記述として、適切なものは次のうちどれか。,,,,,,高温・大容量の用途で用いられることがある。,燃料油を加熱する装置である。,給水を軟化する薬剤である。,圧力計のサイホン管である。,安全弁の吹出し管である。,1,後向き形ファンは効率が比較的高く、大容量用途で用いられる。
135,single,燃料及び燃焼に関する知識,通風・ファン,ラジアル形ファンに関する記述として、適切なものは次のうちどれか。,,,,,,放射状の羽根を持ち、構造が比較的簡単である。,ボイラー水を軟化する装置である。,燃料中の硫黄を化学的に除去する薬剤である。,水面計のガラスである。,検査証を更新する手続名である。,1,ラジアル形ファンは放射状の羽根を持つ。
136,single,燃料及び燃焼に関する知識,通風・ファン,押込通風に関する記述として、適切でないものは次のうちどれか。,,,,,,燃焼用空気を炉内に押し込む。,常温空気を扱うことが多い。,油だきボイラーで用いられることがある。,燃焼ガスをファンで吸い出す方式だけをいう。,通風方式の一つである。,4,燃焼ガスを吸い出す方式は誘引通風である。
137,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,過剰空気が多すぎる場合の影響として、適切なものは次のうちどれか。,,,,,,排ガス量が増え、熱損失が増加することがある。,排ガス熱損失が必ずゼロになる。,燃料消費が必ずゼロになる。,燃焼室熱負荷が必ず消滅する。,空気予熱器が不要になる。,1,過剰空気が多すぎると排ガス量が増え、熱損失が増加する。
138,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,低NOx燃焼の考え方として、適切なものは次のうちどれか。,,,,,,局所高温域を抑える。,燃焼温度を無制限に上げる。,炉内酸素濃度を常に最大にする。,燃料中の窒素を増やす。,排ガス再循環を必ず禁止する。,1,局所高温域の抑制はNOx低減に有効である。
139,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,不完全燃焼に関する記述として、適切なものは次のうちどれか。,,,,,,一酸化炭素やすすの発生につながることがある。,常に理想的な完全燃焼である。,空気不足とは無関係である。,燃料は全く消費されない。,排ガス成分に影響しない。,1,不完全燃焼ではCOやすす、未燃分が発生することがある。
140,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,燃焼室熱負荷が高すぎる場合に注意すべきこととして、適切なものは次のうちどれか。,,,,,,燃焼室や伝熱面の過熱、燃焼状態の悪化に注意する。,安全管理は不要になる。,水面計が不要になる。,燃料は燃えなくなる。,排ガスは必ず常温になる。,1,燃焼室熱負荷が過大だと、燃焼状態や炉内温度に悪影響を与える。
141,single,関係法令,伝熱面積・ボイラー種別,伝熱面積の算定に関する記述として、適切でないものは次のうちどれか。,,,,,,ボイラーの種類により算定方法が異なる。,水管や煙管のどちら側で算定するかが問われる。,法令上の区分に関係する。,すべての面積を無条件に二重算入する。,過熱器やエコノマイザの扱いが問われることがある。,4,伝熱面積は法令上の算定方法に従い、無条件に二重算入しない。
142,single,関係法令,伝熱面積・ボイラー種別,炉筒煙管ボイラーの伝熱面積に関する問題で問われやすいものは次のうちどれか。,,,,,,煙管の内径側など、算定面の扱い,燃料販売店の名称,作業者の年齢,ボイラー室の床色,煙突の塗装色,1,炉筒煙管ボイラーでは煙管などの伝熱面積算定方法が問われる。
143,single,関係法令,伝熱面積・ボイラー種別,小型ボイラーを除く鋳鉄製温水ボイラーで問われやすい事項は次のうちどれか。,,,,,,附属品や取扱資格の範囲,燃料の総発熱量だけ,空気比だけ,バーナのターンダウン比だけ,スートブロー蒸気の乾き度だけ,1,鋳鉄製温水ボイラーでは附属品や取扱資格などが問われやすい。
144,single,関係法令,設置・ボイラー室,ボイラー室の構造に関する記述として、適切なものは次のうちどれか。,,,,,,点検や取扱いに必要な空間を確保する。,出入口を完全にふさいで運転する。,換気を一切行わない。,燃料を室内に無制限に散布する。,安全表示をすべて隠す。,1,ボイラー室は安全な取扱い、点検、換気を考慮する必要がある。
145,single,関係法令,設置・ボイラー室,ボイラー設置届に関する記述として、適切なものは次のうちどれか。,,,,,,一定のボイラーの設置では、所定の届出が必要となる。,どのボイラーにも届出は絶対に不要である。,燃料販売店だけが任意で作成する広告である。,水面計の吹出し操作名である。,安全弁のばね材料である。,1,ボイラーの種類・規模により、設置届が必要となる場合がある。
146,single,関係法令,設置・ボイラー室,ボイラー及び配管の配置に関する法令問題で問われやすい事項は次のうちどれか。,,,,,,外壁や構造物との距離,燃料販売価格,作業者の通勤時間,煙突の色,水の比熱,1,本体外壁から構造物までの距離など、配置基準が問われる。
147,single,関係法令,検査・検査証,使用検査に関する記述として、適切なものは次のうちどれか。,,,,,,使用を廃止したボイラーを再び設置する場合などに関係する。,燃料の色を確認するだけの検査である。,水面計の長さを測るだけである。,ボイラー検査証とは無関係である。,作業主任者が任意に省略できる。,1,使用検査は、再設置などの手続で問われる。
148,single,関係法令,検査・検査証,構造検査に関する記述として、適切なものは次のうちどれか。,,,,,,製造又は輸入等の段階で構造の適合を確認する検査として問われる。,燃料中の水分だけを測る検査である。,ボイラー室の照明色だけを決める検査である。,安全弁を使わないための検査である。,検査証とは全く関係しない広告である。,1,構造検査はボイラーの構造に関する検査である。
149,single,関係法令,検査・検査証,ボイラー検査証の有効期間に関する記述として、適切でないものは次のうちどれか。,,,,,,原則として有効期間が定められる。,性能検査により更新される。,検査結果により期間が定められることがある。,一度交付されると法令上永久に更新不要である。,運転継続には有効期間の管理が必要である。,4,ボイラー検査証には有効期間があり、更新管理が必要である。
150,single,関係法令,作業主任者・取扱資格,作業主任者の掲示に関する記述として、適切なものは次のうちどれか。,,,,,,資格及び氏名などを見やすい箇所に掲示することが問われる。,掲示は常に禁止されている。,燃料の発熱量だけを掲示する。,水面計のメーカー名だけを掲示する。,作業主任者の趣味を掲示する。,1,作業主任者の資格・氏名などの掲示は法令問題で問われる。
151,single,関係法令,作業主任者・取扱資格,二級ボイラー技士が作業主任者になれない場合として問われやすい観点は次のうちどれか。,,,,,,ボイラーの種類及び伝熱面積の範囲,燃料販売店の所在地,水の色,作業者の靴の種類,煙突の塗装方法,1,資格ごとに作業主任者として選任できる範囲が定められる。
152,single,関係法令,作業主任者・取扱資格,ボイラー取扱作業主任者の職務として、適切でないものは次のうちどれか。,,,,,,圧力を監視する。,水位を監視する。,燃焼状態を監視する。,急激な負荷変動を避けるよう努める。,安全装置を常に無効化して運転する。,5,安全装置を無効化することは職務として不適切である。
153,single,関係法令,附属品・安全弁・圧力計,安全弁の吹出し量に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラーの最大蒸発量に応じた能力が求められる。,任意に小さくしてよい。,水面計の長さだけで決まる。,燃料タンクの色で決まる。,作業主任者の年齢で決まる。,1,安全弁にはボイラーの蒸発量に対応する吹出し能力が必要である。
154,single,関係法令,附属品・安全弁・圧力計,圧力計の目盛盤に関する記述として、適切なものは次のうちどれか。,,,,,,常用圧力や最高使用圧力との関係で適切な範囲が求められる。,必ず圧力が読めないようにする。,燃料の灰分量を表示する。,水位だけを表示する。,検査証の番号だけを表示する。,1,圧力計は常用圧力や最高使用圧力との関係で適切に選定・表示される。
155,single,関係法令,附属品・安全弁・圧力計,温水ボイラーの逃がし管に関する記述として、適切なものは次のうちどれか。,,,,,,水の膨張分を逃がすために用いられる。,燃料油を霧化する。,安全弁のばねを締める工具である。,煙突内の煤を測定する。,作業主任者の氏名を掲示する。,1,逃がし管は温水ボイラーの水の膨張分を逃がすために用いられる。
156,single,関係法令,定期自主検査・変更届,定期自主検査の項目として、適切でないものは次のうちどれか。,,,,,,ボイラー本体,燃焼装置,自動制御装置,附属装置及び附属品,作業者の昼食内容,5,昼食内容は定期自主検査の項目ではない。
157,single,関係法令,定期自主検査・変更届,変更届が問題となる部分として、適切なものは次のうちどれか。,,,,,,過熱器,作業者の筆記用具,事務所の椅子,燃料販売店の看板,通勤経路,1,過熱器など主要部分の変更は届出・検査の対象として問われる。
158,single,関係法令,定期自主検査・変更届,定期自主検査の記録保存に関する記述として、適切なものは次のうちどれか。,,,,,,検査結果を記録し、一定期間保存する。,記録は作成してはならない。,異常があっても記録しない。,燃料販売店だけが口頭で覚えておく。,記録は運転前に必ず破棄する。,1,定期自主検査の結果は記録し、保存する必要がある。
159,single,関係法令,法令総合,法令問題を解く際の着眼点として、適切なものは次のうちどれか。,,,,,,ボイラーの種類、小型か否か、伝熱面積、用途を確認する。,選択肢の文字数だけで判断する。,燃料タンクの色だけで判断する。,問題文の年度だけで正答を決める。,すべてのボイラーに同じ規定が無条件に適用されると考える。,1,法令問題では、ボイラー種別、伝熱面積、小型ボイラー除外などの条件確認が重要である。
160,single,関係法令,法令総合,小型ボイラーを除く、という条件が付く問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,対象範囲が限定されているため、問題文の条件を確認する。,小型ボイラーも必ず同一扱いと決めつける。,条件は正答に影響しない。,燃料の種類だけで正答を決める。,設問文を読まなくてよい。,1,法令問題では『小型ボイラーを除く』などの条件が正答に影響する。
161,single,ボイラーの構造に関する知識,熱・蒸気・圧力,乾き度に関する記述として、適切なものは次のうちどれか。,,,,,,湿り蒸気中の蒸気分の質量割合を表す。,燃料油中の硫黄分の割合を表す。,空気予熱器の伝熱面積を表す。,水面計の目盛間隔を表す。,煙突の高さを表す。,1,乾き度は湿り蒸気中に含まれる乾き飽和蒸気の質量割合である。
162,single,ボイラーの構造に関する知識,熱・蒸気・圧力,蒸気のエンタルピに関する記述として、適切なものは次のうちどれか。,,,,,,蒸気が持つ熱エネルギーの評価に用いられる。,水面計のガラス厚さを示す。,燃料タンクの直径だけを示す。,安全弁のばね材質を示す。,煙突の塗装色を示す。,1,蒸気のエンタルピは蒸気が持つ熱量の評価に用いられ、効率計算にも関係する。
163,single,ボイラーの構造に関する知識,熱・蒸気・圧力,水の顕熱に関する記述として、適切なものは次のうちどれか。,,,,,,水の温度上昇に伴って蓄えられる熱である。,水を蒸発させるためだけの熱である。,燃料の灰分量である。,安全弁の作動圧である。,煙突内の通風力である。,1,顕熱は物質の温度変化として現れる熱である。
164,single,ボイラーの構造に関する知識,燃焼室・伝熱面,水冷壁に関する記述として、適切なものは次のうちどれか。,,,,,,炉壁に水管を配置し、放射熱を吸収する構造である。,燃料油を貯蔵する壁である。,圧力計の目盛盤である。,水面計のコックである。,煙突の外装材だけをいう。,1,水冷壁は炉壁に水管を配置して放射熱を吸収する。
165,single,ボイラーの構造に関する知識,燃焼室・伝熱面,燃焼室に求められる条件として、適切でないものは次のうちどれか。,,,,,,燃料と空気の混合を良くする。,燃料を速やかに着火・燃焼させる。,完全燃焼に必要な空間を確保する。,発生熱を伝熱面へ有効に伝える。,燃料と空気を絶対に接触させない。,5,燃焼室では燃料と空気を適切に混合し、完全燃焼を図る。
166,single,ボイラーの構造に関する知識,水循環・水管ボイラー,下降管に関する記述として、適切なものは次のうちどれか。,,,,,,比較的温度の低い水が下降する通路である。,燃焼ガスだけを排出する通路である。,燃料油を噴霧するノズルである。,圧力計のサイホン管である。,安全弁の吹出し管である。,1,水管ボイラーでは上昇管と下降管を区別して水循環を行うものがある。
167,single,ボイラーの構造に関する知識,水循環・水管ボイラー,上昇管に関する記述として、適切なものは次のうちどれか。,,,,,,気泡を含む水や蒸気水混合物が上昇する管である。,燃料タンクの油取出し管である。,煙突上部の避雷針である。,水面計の照明である。,安全弁のばねである。,1,加熱されて気泡を含む水は密度が小さくなり上昇する。
168,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,波形炉筒に関する記述として、適切なものは次のうちどれか。,,,,,,熱膨張による応力を緩和し、強度上も有利な形状である。,燃料を化学的に脱硫する装置である。,水面計の一種である。,給水中の酸素を除去する薬剤である。,煙突の通風力を測定する器具である。,1,波形炉筒は熱膨張への追従性や強度面で利点がある。
169,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,貫流ボイラーの負荷変動に関する記述として、適切なものは次のうちどれか。,,,,,,保有水量が少なく、負荷変動に対する制御が重要である。,保有水量が非常に多く、制御は不要である。,蒸気発生は燃料と無関係である。,給水ポンプを持つことはない。,水処理は常に不要である。,1,貫流ボイラーは保有水量が少ないため、給水量・燃料量の制御が重要である。
170,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,鋳鉄製ボイラーのセクションに関する記述として、適切なものは次のうちどれか。,,,,,,セクションを組み合わせて容量を構成するものがある。,セクションは燃料油の種類名である。,セクションは圧力計の目盛である。,セクションは煙突の高さだけを示す。,セクションは水の比熱の単位である。,1,鋳鉄製ボイラーには、セクションを組み合わせる構造のものがある。
171,single,ボイラーの構造に関する知識,附属品・計測器,気水分離器に関する記述として、適切なものは次のうちどれか。,,,,,,蒸気と水滴を分離するために用いられる。,燃料油を加熱する装置である。,水の硬度を下げる薬剤である。,通風力を測る計器である。,安全弁のばねを締める工具である。,1,気水分離器は、蒸気中の水滴を分離し、蒸気の乾き度向上に役立つ。
172,single,ボイラーの構造に関する知識,附属品・計測器,減圧弁に関する記述として、適切なものは次のうちどれか。,,,,,,蒸気の使用圧力を所定の低い圧力に保つために用いられる。,ボイラー水を軟化する装置である。,燃料を微粒化する装置である。,水面計のガラス管である。,煙突内のすすを除去する装置である。,1,減圧弁は、使用箇所に適した蒸気圧力に下げて保つために用いる。
